Donor,Organ,Subset ,cell number,gs.id,pool.info,concentration,remarks
A20,Blood,CD4 CM,200000,107420-001-001,Pool1 Sample 1,3.583008,A20 Blood CD4CM
A20,Blood,CD4 EM+EMRA,200000,107420-001-002,Pool1 Sample 2,2.270268,A20 Blood CD4EM+EMRA
A20,Blood,CD8 EM+CM,200000,107420-001-003,Pool1 Sample 3,1.501929,A20 Blood CD8EM+CM
A20,Blood,CD8 EMRA,132000,107420-001-004,Pool1 Sample 4,2.230371,A20 Blood CD8EMRA
A20,Blood,CD4 N,200000,107420-001-005,Pool1 Sample 5,1.540539,A20 Blood CD4N
A20,Blood,CD8 N,126000,107420-001-006,Pool1 Sample 6,2.428569,A20 Blood CD8N
A20,Blood,CD4 CM (rep),200000,107420-001-007,Pool1 Sample 7,2.890602,A20 Blood CD4CM
A20,Blood,CD4 EM+EMRA (rep),200000,107420-001-008,Pool1 Sample 8,2.945943,A20 Blood CD4EM+EMRA
A20,Blood,CD8 EM+CM (rep),200000,107420-001-009,Pool1 Sample 9,4.45302,A20 Blood CD8EM+CM
A20,Skin,CD4 CD69+,150000,107420-001-010,Pool1 Sample 10,1.445301,A20 Skin CD4CD69+ 
A20,Skin,CD4 CD69-,17700,107420-001-011,Pool1 Sample 11,2.450448,A20 Skin CD4CD69-
A20,Skin,CD8 CD69+,150000,107420-001-012,Pool1 Sample 12,2.949804,A20 Skin CD8CD69+
A20,Fat,CD4 CD69+,150000,107420-001-013,Pool1 Sample 13,3.460743,A20 Fat CD4CD69+
A20,Fat,CD4 CD69-,66900,107420-001-014,Pool1 Sample 14,1.732302,A20 Fat CD4CD69-
A20,Fat,CD8 CD69+,147000,107420-001-015,Pool1 Sample 15,4.072068,A20 Fat CD8CD69+
A21,Blood,CD4 CM,200000,107420-001-016,Pool1 Sample 16,0.66924,A21 Blood CD4CM 
A21,Blood,CD4 EM+EMRA,200000,107420-001-017,Pool1 Sample 17,1.873872,A21 Blood CD4EM+EMRA
